Feature,Type,Coefficient,Importance
youtube,Text,-2.7606814766899523,2.7606814766899523
stage play,Text,-2.593645053011217,2.593645053011217
visual novel,Text,2.477525455331241,2.477525455331241
paranormal,Text,-2.4765410098049077,2.4765410098049077
usd_goal_real_log,Numeric,-2.4089608217294245,2.4089608217294245
usd_goal_real,Numeric,-2.402362094268913,2.402362094268913
burning man,Text,2.3979200931646356,2.3979200931646356
kickstarter gold,Text,2.3622652966817275,2.3622652966817275
cthulhu,Text,2.306676835199766,2.306676835199766
edm,Text,-2.269783242294892,2.269783242294892
christmas tree,Text,-2.2518000090771304,2.2518000090771304
5e,Text,2.20576798080523,2.20576798080523
screenplay,Text,-2.1992333832362805,2.1992333832362805
degree show,Text,2.142330880971941,2.142330880971941
lovecraft,Text,2.1284211584734325,2.1284211584734325
cheesecake,Text,-2.0849547180487895,2.0849547180487895
fastest,Text,2.025261827448158,2.025261827448158
new age,Text,-2.0202107928441686,2.0202107928441686
community supported,Text,2.007441045500362,2.007441045500362
childrens,Text,-1.99936621069968,1.99936621069968
goal_log,Numeric,1.9948599197915071,1.9948599197915071
poverty,Text,-1.981116907513647,1.981116907513647
3d printer,Text,1.9778014791116696,1.9778014791116696
finishing fund,Text,1.9692535433630824,1.9692535433630824
walsh,Text,1.9426635936053294,1.9426635936053294
homemade,Text,-1.9426435864930887,1.9426435864930887
residency,Text,1.9322304864113296,1.9322304864113296
arctic,Text,1.905617785867366,1.905617785867366
career,Text,-1.9027856996320838,1.9027856996320838
timer,Text,-1.8932392460257375,1.8932392460257375
starting,Text,-1.8704106544971126,1.8704106544971126
new record,Text,1.8638731799229027,1.8638731799229027
promotion,Text,-1.847046179195036,1.847046179195036
titanium,Text,1.8411802911293826,1.8411802911293826
making record,Text,1.836219647187845,1.836219647187845
drug,Text,-1.8278014458816714,1.8278014458816714
pebble,Text,1.8277237072054686,1.8277237072054686
stretch,Text,1.8107628612541238,1.8107628612541238
titled,Text,-1.8062940982979145,1.8062940982979145
miniature game,Text,1.8052171996449802,1.8052171996449802
new film,Text,1.7878722395760616,1.7878722395760616
ethical,Text,1.7860552381926962,1.7860552381926962
pic,Text,-1.7654929492982137,1.7654929492982137
currency_JPY,Category,-1.7551127422795627,1.7551127422795627
country_JP,Category,-1.7551127422795627,1.7551127422795627
length documentary,Text,1.7373640429429147,1.7373640429429147
smallest,Text,1.737137454510457,1.737137454510457
florida,Text,-1.7356853845356723,1.7356853845356723
recording studio,Text,-1.7317097603024298,1.7317097603024298
mini series,Text,-1.7303528025623616,1.7303528025623616
audio book,Text,-1.7251180604197116,1.7251180604197116
smartest,Text,1.7243456871995724,1.7243456871995724
cleaner,Text,-1.7207316866750946,1.7207316866750946
book series,Text,-1.7111779637077646,1.7111779637077646
bfa,Text,1.7067833462108006,1.7067833462108006
dj,Text,-1.6950336393617653,1.6950336393617653
sxsw,Text,1.6936078867922253,1.6936078867922253
manga,Text,-1.6735145112079903,1.6735145112079903
reminder,Text,-1.6663925643702442,1.6663925643702442
spinning top,Text,1.6652944800918843,1.6652944800918843
brewing,Text,1.6588032171590723,1.6588032171590723
pre order,Text,1.6540884361858317,1.6540884361858317
watch,Text,1.6494743161232095,1.6494743161232095
wood fired,Text,1.6489845117357929,1.6489845117357929
drinking game,Text,-1.6431381771654363,1.6431381771654363
reimagined,Text,1.642110852041242,1.642110852041242
chess,Text,-1.6406871806235535,1.6406871806235535
budget,Text,-1.637579806792207,1.637579806792207
trump,Text,-1.6318156044820014,1.6318156044820014
promote,Text,-1.6288106216557832,1.6288106216557832
success,Text,-1.6173568188456533,1.6173568188456533
reissue,Text,1.6171491921080916,1.6171491921080916
fried,Text,-1.616621113484718,1.616621113484718
fourth,Text,1.6153982989164786,1.6153982989164786
subscription box,Text,-1.613416453002083,1.613416453002083
rustic,Text,-1.611664237930398,1.611664237930398
world best,Text,1.610430412827738,1.610430412827738
thesis,Text,1.6065353149841717,1.6065353149841717
pokemon,Text,-1.6061745322100058,1.6061745322100058
personalized,Text,-1.6001430407520065,1.6001430407520065
carabiner,Text,1.599043865347475,1.599043865347475
marijuana,Text,-1.5965282728782182,1.5965282728782182
mac linux,Text,1.5907209016470079,1.5907209016470079
salad,Text,-1.5860656690837516,1.5860656690837516
coding,Text,1.5847619666964354,1.5847619666964354
promoting,Text,-1.5787691672656203,1.5787691672656203
prototype,Text,-1.5786408878522056,1.5786408878522056
alzheimer,Text,-1.5782636339045086,1.5782636339045086
viral,Text,-1.5776122454009194,1.5776122454009194
playing card,Text,1.5770673567610949,1.5770673567610949
blog,Text,-1.5769612039286975,1.5769612039286975
python,Text,1.572768417087292,1.572768417087292
world smartest,Text,1.5721387250504038,1.5721387250504038
cannabis,Text,-1.5670145954289256,1.5670145954289256
lawn,Text,-1.5669775977147586,1.5669775977147586
brandon,Text,-1.5616234239018902,1.5616234239018902
promo,Text,-1.5558384773092093,1.5558384773092093
coffee table,Text,-1.5557611193322192,1.5557611193322192
awareness,Text,-1.5492411172111615,1.5492411172111615
purse,Text,-1.5369342558665322,1.5369342558665322
pen,Text,1.5316507875043583,1.5316507875043583
website,Text,-1.5242029349646828,1.5242029349646828
item,Text,-1.5228288805495307,1.5228288805495307
meme,Text,-1.521191827446817,1.521191827446817
bumper,Text,-1.5189960908966427,1.5189960908966427
new studio,Text,1.5139772239912965,1.5139772239912965
golf,Text,-1.5122365679769323,1.5122365679769323
reinvented,Text,1.51062684652883,1.51062684652883
reversible,Text,1.5088809348399126,1.5088809348399126
currency_GBP,Category,1.5036804815705676,1.5036804815705676
fantasy football,Text,1.4950827041103292,1.4950827041103292
want make,Text,-1.494859142280815,1.494859142280815
post production,Text,1.4899132505978174,1.4899132505978174
mechanical,Text,1.4894835674231506,1.4894835674231506
orbit,Text,1.488806908456836,1.488806908456836
easily,Text,-1.4869959554742673,1.4869959554742673
celebrity,Text,-1.4852226782462896,1.4852226782462896
automotive,Text,-1.4850707553672555,1.4850707553672555
laugh,Text,-1.4795692239349327,1.4795692239349327
new full,Text,1.4760468713098507,1.4760468713098507
non profit,Text,-1.4754143309194117,1.4754143309194117
miniature,Text,1.4650924816089494,1.4650924816089494
songwriter,Text,-1.4636781574165674,1.4636781574165674
meter,Text,1.459504046076637,1.459504046076637
football,Text,-1.4577104003114933,1.4577104003114933
develop,Text,-1.4559590627182155,1.4559590627182155
mercy,Text,1.4530266385231414,1.4530266385231414
xbox,Text,-1.4500508395396448,1.4500508395396448
cappella,Text,1.446913348989425,1.446913348989425
make album,Text,1.446639104294499,1.446639104294499
sport,Text,-1.4455125137926532,1.4455125137926532
length record,Text,1.4421235570492839,1.4421235570492839
brighton,Text,1.4407860357574072,1.4407860357574072
com,Text,-1.4387868808364526,1.4387868808364526
rock album,Text,-1.434028471982961,1.434028471982961
christian,Text,-1.4301394821300637,1.4301394821300637
romantic comedy,Text,1.4286800129040182,1.4286800129040182
entry,Text,-1.4271687480187993,1.4271687480187993
sketchbook,Text,1.425194768759411,1.425194768759411
organic farm,Text,-1.413235661023592,1.413235661023592
roleplaying game,Text,1.405067142650068,1.405067142650068
product,Text,-1.4022268287485222,1.4022268287485222
anthology,Text,1.399416786027579,1.399416786027579
omnibus,Text,1.3974908531366583,1.3974908531366583
clothing brand,Text,-1.3954742325075034,1.3954742325075034
treat,Text,-1.3954422103671176,1.3954422103671176
la vega,Text,-1.3944509525043893,1.3944509525043893
country_MX,Category,-1.3917682883478621,1.3917682883478621
currency_MXN,Category,-1.3917682883478621,1.3917682883478621
hoodie,Text,1.3897002641643044,1.3897002641643044
haunted,Text,-1.3895877602686193,1.3895877602686193
amy,Text,1.3893736817292524,1.3893736817292524
smell,Text,-1.3886019957725524,1.3886019957725524
brooklyn,Text,1.3860903713136956,1.3860903713136956
portland,Text,1.3834054554972226,1.3834054554972226
catering,Text,-1.3824314556059865,1.3824314556059865
revelation,Text,-1.3771982670353913,1.3771982670353913
baltimore,Text,1.3769056885568545,1.3769056885568545
raspberry,Text,1.3749254063456282,1.3749254063456282
category_Hip-Hop,Category,-1.374748292830594,1.374748292830594
label,Text,-1.3715328152059083,1.3715328152059083
dating,Text,-1.371260318358777,1.371260318358777
cell phone,Text,-1.3676369334916356,1.3676369334916356
world first,Text,1.3619840723529817,1.3619840723529817
oakland,Text,1.3506475969897256,1.3506475969897256
mafia,Text,-1.3463413418910388,1.3463413418910388
marketing,Text,-1.3451878703430018,1.3451878703430018
category_Mobile Games,Category,-1.342656394050119,1.342656394050119
archive,Text,1.3397220169028168,1.3397220169028168
category_Tabletop Games,Category,1.338616263168913,1.338616263168913
turn based,Text,1.3361590891651385,1.3361590891651385
entertainment,Text,-1.3355524134979175,1.3355524134979175
ron,Text,-1.3349060626301914,1.3349060626301914
art studio,Text,-1.3346618311193041,1.3346618311193041
owner,Text,-1.3259509830117513,1.3259509830117513
rooftop,Text,1.3220269463198777,1.3220269463198777
hand made,Text,-1.318619384668907,1.318619384668907
fold,Text,1.3169849447813848,1.3169849447813848
safety,Text,-1.3147051738355926,1.3147051738355926
ember,Text,1.3140769377334822,1.3140769377334822
folding,Text,1.3130421207335468,1.3130421207335468
muslim,Text,1.3129582270162075,1.3129582270162075
minecraft,Text,-1.3129281728851943,1.3129281728851943
pc mac,Text,1.3110143497173967,1.3110143497173967
donation,Text,-1.3091543214616466,1.3091543214616466
orlando,Text,-1.3056663514804758,1.3056663514804758
phone case,Text,-1.3056193264827558,1.3056193264827558
hair,Text,-1.3036565179547384,1.3036565179547384
jacket,Text,1.3021058666779346,1.3021058666779346
smarter,Text,1.3016957305759256,1.3016957305759256
google,Text,-1.3006708300759091,1.3006708300759091
gourmet,Text,-1.2985727583287248,1.2985727583287248
vota house,Text,-1.2982312218640772,1.2982312218640772
wanna,Text,-1.2981721595212607,1.2981721595212607
gallery show,Text,1.2944254942952598,1.2944254942952598
photography,Text,-1.2924514820235349,1.2924514820235349
hand painted,Text,-1.289003363559933,1.289003363559933
clothing co,Text,-1.2883600596425033,1.2883600596425033
gospel,Text,-1.285602703233811,1.285602703233811
helping,Text,-1.285400896057296,1.285400896057296
needed,Text,-1.2841154101037942,1.2841154101037942
event,Text,-1.2836767515972374,1.2836767515972374
better way,Text,-1.2812853919699303,1.2812853919699303
field guide,Text,1.280718251214522,1.280718251214522
potato,Text,-1.2806667870898862,1.2806667870898862
crochet,Text,-1.2802181933200276,1.2802181933200276
category_Photo,Category,-1.2798854999321592,1.2798854999321592
butcher,Text,1.2781711758866419,1.2781711758866419
world one,Text,-1.277558848902907,1.277558848902907
spiritual,Text,-1.2773716986403885,1.2773716986403885
usc,Text,1.2764773884562488,1.2764773884562488
kate,Text,1.2754650050483773,1.2754650050483773
backer,Text,-1.2712272267100275,1.2712272267100275
backpack,Text,1.2684753920432235,1.2684753920432235
contest,Text,-1.268078080579028,1.268078080579028
tiny house,Text,-1.2670257418993895,1.2670257418993895
cocktail,Text,1.2664622487408277,1.2664622487408277
edinburgh,Text,1.2660033258857621,1.2660033258857621
soft enamel,Text,-1.262093821597732,1.262093821597732
music video,Text,1.2618704485415377,1.2618704485415377
channel,Text,-1.2609541134875655,1.2609541134875655
iowa,Text,-1.2591158637916917,1.2591158637916917
bank,Text,-1.2589291505013724,1.2589291505013724
brand,Text,-1.2586975731329584,1.2586975731329584
supporting,Text,-1.2572303621540055,1.2572303621540055
creamery,Text,1.2565722883789894,1.2565722883789894
toilet,Text,-1.2557387580842618,1.2557387580842618
brewer,Text,1.2524567563468039,1.2524567563468039
odds,Text,-1.2488458217051062,1.2488458217051062
please help,Text,-1.248428826513979,1.248428826513979
aspiring,Text,-1.247194857053781,1.247194857053781
equipment,Text,-1.2447537556171147,1.2447537556171147
start,Text,-1.2438367087137014,1.2438367087137014
multi tool,Text,1.242965921163784,1.242965921163784
paradigm,Text,-1.2428196751391054,1.2428196751391054
confidence,Text,-1.2425783216525945,1.2425783216525945
bullying,Text,-1.2409683253506134,1.2409683253506134
cambodia,Text,1.2350413790576376,1.2350413790576376
dress,Text,1.2346425448715739,1.2346425448715739
known,Text,-1.2345590603970922,1.2345590603970922
homeless,Text,-1.2343352405956347,1.2343352405956347
interest,Text,-1.2335417349638922,1.2335417349638922
queer,Text,1.2333571309262623,1.2333571309262623
american made,Text,1.2329303511111334,1.2329303511111334
mic,Text,-1.2323850193613608,1.2323850193613608
caribbean,Text,-1.2316960572591393,1.2316960572591393
virtual reality,Text,1.231567693978942,1.231567693978942
funding,Text,-1.230138380805058,1.230138380805058
cat cafe,Text,1.2288177138386052,1.2288177138386052
coffee roaster,Text,1.2273985390065316,1.2273985390065316
oral,Text,1.2262169695506868,1.2262169695506868
molly,Text,1.2255394433641333,1.2255394433641333
reinventing,Text,1.2209914412540432,1.2209914412540432
rfid,Text,1.2200618169708572,1.2200618169708572
enthusiast,Text,-1.2198811194555006,1.2198811194555006
one kind,Text,-1.219379885779031,1.219379885779031
art nude,Text,1.218590426333088,1.218590426333088
art book,Text,1.2169996123478084,1.2169996123478084
fringenyc,Text,1.211666693593651,1.211666693593651
streetwear,Text,-1.2115811460875687,1.2115811460875687
earbuds,Text,1.2099635219061975,1.2099635219061975
smart,Text,1.2098852692388218,1.2098852692388218
collected,Text,1.2080168607369215,1.2080168607369215
puppy,Text,-1.2065856819866427,1.2065856819866427
based true,Text,-1.2062942190207482,1.2062942190207482
hip hop,Text,-1.203431846057933,1.203431846057933
textile,Text,1.202520281003688,1.202520281003688
tm,Text,-1.2020917389624237,1.2020917389624237
ruby,Text,1.201102898529622,1.201102898529622
donald,Text,-1.1991291068339471,1.1991291068339471
record first,Text,-1.1989068451784106,1.1989068451784106
rachel,Text,1.1973747029315631,1.1973747029315631
swift,Text,1.1946801186852782,1.1946801186852782
protective,Text,-1.1939519146679325,1.1939519146679325
passage,Text,1.193763672024444,1.193763672024444
filming,Text,-1.1918336331140855,1.1918336331140855
high performance,Text,1.1899767028486505,1.1899767028486505
european tour,Text,1.1897541982846875,1.1897541982846875
cycling,Text,1.1884040880422608,1.1884040880422608
atlas,Text,1.1868626390279429,1.1868626390279429
understanding,Text,-1.1859685098066,1.1859685098066
und,Text,-1.1858762774093372,1.1858762774093372
category_Chiptune,Category,1.1852595449773498,1.1852595449773498
suitcase,Text,1.1851282674966777,1.1851282674966777
tarot,Text,1.1851075884645026,1.1851075884645026
pound,Text,-1.1846501533161304,1.1846501533161304
exhibition,Text,1.184057738033135,1.184057738033135
themed,Text,-1.1838048852273022,1.1838048852273022
novel series,Text,-1.1829985287412437,1.1829985287412437
safari,Text,1.1821378692457383,1.1821378692457383
skin care,Text,-1.1798462707216433,1.1798462707216433
medical,Text,-1.1797938923435396,1.1797938923435396
mmorpg,Text,-1.1788623267678646,1.1788623267678646
hammock,Text,1.1766538271684708,1.1766538271684708
reprint,Text,1.174883315133854,1.174883315133854
wound,Text,-1.1745357888127337,1.1745357888127337
spring summer,Text,-1.173419340842254,1.173419340842254
category_Apps,Category,-1.1730328015894451,1.1730328015894451
selling,Text,-1.1729347896929627,1.1729347896929627
patent,Text,-1.17279979870279,1.17279979870279
rag,Text,-1.1713808033069342,1.1713808033069342
v2,Text,1.1713006204369345,1.1713006204369345
warfare,Text,-1.1691567427502927,1.1691567427502927
lightweight,Text,-1.1688239312299364,1.1688239312299364
tattoo,Text,-1.1685475096595628,1.1685475096595628
category_Residencies,Category,1.1670307547307461,1.1670307547307461
shopping,Text,-1.1669827042500769,1.1669827042500769
review,Text,-1.1669113789043788,1.1669113789043788
standing desk,Text,1.1660000576885416,1.1660000576885416
original art,Text,-1.1657351716339381,1.1657351716339381
recycle,Text,-1.1636568229739417,1.1636568229739417
denim,Text,1.1634162438494475,1.1634162438494475
sexy,Text,-1.1626252655599507,1.1626252655599507
help create,Text,-1.1608971454165453,1.1608971454165453
image,Text,-1.1553817429285687,1.1553817429285687
deluxe,Text,1.1540798327990642,1.1540798327990642
short documentary,Text,1.1540031200046412,1.1540031200046412
desktop,Text,1.1517254500800125,1.1517254500800125
saver,Text,-1.15166126000399,1.15166126000399
canvas,Text,-1.1493404119274584,1.1493404119274584
peanut butter,Text,-1.1485739043692442,1.1485739043692442
vol fine,Text,1.148212895008042,1.148212895008042
cupcake,Text,-1.147825164907107,1.147825164907107
jerry,Text,-1.1475080455980344,1.1475080455980344
heavy metal,Text,-1.1467358596668353,1.1467358596668353
abstract,Text,-1.1462259803455548,1.1462259803455548
food cart,Text,1.146191848913104,1.146191848913104
relaunch,Text,1.1447506161761973,1.1447506161761973
help support,Text,-1.143564386143729,1.143564386143729
enamel,Text,1.1430154085417057,1.1430154085417057
startup,Text,-1.1428478210810797,1.1428478210810797
category_Literary Spaces,Category,1.142145829268614,1.142145829268614
vega,Text,-1.1392802061187368,1.1392802061187368
opportunity,Text,-1.1390497708183926,1.1390497708183926
circuit,Text,1.1367874204951158,1.1367874204951158
custom,Text,-1.136090687447902,1.136090687447902
abuse,Text,-1.1351459422692702,1.1351459422692702
second chance,Text,-1.1341343630799194,1.1341343630799194
realistic,Text,-1.1336622651340829,1.1336622651340829
camera,Text,1.1336320474588562,1.1336320474588562
veteran,Text,-1.132569391944002,1.132569391944002
omega,Text,-1.1323845103947825,1.1323845103947825
essay,Text,1.1312220465971525,1.1312220465971525
cost,Text,-1.131192485530736,1.131192485530736
gig,Text,-1.129543992153505,1.129543992153505
launching,Text,-1.126955773587596,1.126955773587596
reggae,Text,-1.1250086949941869,1.1250086949941869
llc,Text,-1.1247359323864816,1.1247359323864816
delight,Text,-1.1245440964623448,1.1245440964623448
zine,Text,1.1244060559961717,1.1244060559961717
extended,Text,1.1242297571330688,1.1242297571330688
mate,Text,-1.1232099387615737,1.1232099387615737
turning,Text,-1.1229481591659543,1.1229481591659543
underwear,Text,1.121946153546896,1.121946153546896
perfection,Text,-1.1215338917250333,1.1215338917250333
dice game,Text,-1.121317698853457,1.121317698853457
producer,Text,-1.1211234286243017,1.1211234286243017
teeth,Text,1.1186191681112245,1.1186191681112245
clothing,Text,-1.1184753844042046,1.1184753844042046
